Id Produto;Nome Produto;Categoria;Marca;Preço Unit.;Custo Unit.
1;Contoso 512MB MP3 Player E51 Silver;Audio;Contoso;12,99;6,62
2;Contoso 512MB MP3 Player E51 Blue;Audio;Contoso;12,99;6,62
3;Contoso 1G MP3 Player E100 White;Audio;Contoso;14,52;7,4
4;Contoso 2G MP3 Player E200 Silver;Audio;Contoso;21,57;11
5;Contoso 2G MP3 Player E200 Red;Audio;Contoso;21,57;11
6;Contoso 2G MP3 Player E200 Black;Audio;Contoso;21,57;11
7;Contoso 2G MP3 Player E200 Blue;Audio;Contoso;21,57;11
8;Contoso 4G MP3 Player E400 Silver;Audio;Contoso;59,99;30,58
9;Contoso 4G MP3 Player E400 Black;Audio;Contoso;59,99;30,58
10;Contoso 4G MP3 Player E400 Green;Audio;Contoso;59,99;30,58
11;Contoso 4G MP3 Player E400 Orange;Audio;Contoso;59,99;30,58
12;Contoso 4GB Flash MP3 Player E401 Blue;Audio;Contoso;77,68;35,72
13;Contoso 4GB Flash MP3 Player E401 Black;Audio;Contoso;77,68;35,72
14;Contoso 4GB Flash MP3 Player E401 Silver;Audio;Contoso;77,68;35,72
15;Contoso 4GB Flash MP3 Player E401 White;Audio;Contoso;77,68;35,72
16;Contoso 8GB Super-Slim MP3/Video Player M800 White;Audio;Contoso;109,95;50,56
17;Contoso 8GB Super-Slim MP3/Video Player M800 Red;Audio;Contoso;109,95;50,56
18;Contoso 8GB Super-Slim MP3/Video Player M800 Green;Audio;Contoso;109,95;50,56
19;Contoso 8GB Super-Slim MP3/Video Player M800 Pink;Audio;Contoso;109,95;50,56
20;Contoso 8GB MP3 Player new model M820 Black;Audio;Contoso;134;61,62
21;Contoso 8GB MP3 Player new model M820 Blue;Audio;Contoso;134;61,62
22;Contoso 8GB MP3 Player new model M820 Yellow;Audio;Contoso;134;61,62
23;Contoso 8GB MP3 Player new model M820 White;Audio;Contoso;134;61,62
24;Contoso 16GB Mp5 Player M1600 Blue;Audio;Contoso;199,9;91,93
25;Contoso 16GB Mp5 Player M1600 Black;Audio;Contoso;199,9;91,93
26;Contoso 16GB Mp5 Player M1600 Green;Audio;Contoso;199,9;91,93
27;Contoso 16GB Mp5 Player M1600 White;Audio;Contoso;199,9;91,93
28;Contoso 16GB Mp5 Player M1600 Red;Audio;Contoso;199,9;91,93
29;Contoso 32GB Video MP3 Player M3200 White;Audio;Contoso;255;84,49
30;Contoso 32GB Video MP3 Player M3200 Red;Audio;Contoso;255;84,49
31;Contoso 32GB Video MP3 Player M3200 Orange;Audio;Contoso;255;84,49
